Spanish,English (Literal),English (Metaphorical),
Subirse al carro,To get in the car,To jump on the bandwagon,
Esta ronda la pago yo,This round I pay,This round’s on me,
Lo importante es participar,The important thing is to participate,The important thing is to participate,
Ni más ni menos,"Neither more, neither less","No more, no less",
"Unas veces se gana, otras se pierde","Some times one wins, others one looses",You win some you loose some,
Luchar por una causa perdida,To fight for a lost cause,To fight for a lost cause,
Tirar la toalla,To throw in the towel,To throw in the towel,
No hay peor sordo que el que no quiere oír,There is no worse deafness than he who doesn’t want to hear,No one’s as deaf as those who don’t want to listen,
Te invito,I invite you,My treat,
"Cuando se cierra una puerta, se abre una ventana","When a door closes, a window opens","Where one door closes, another one open",
Cada una tiene lo que se merece,Each one has that which their value,People get what they deserve,
La curiosidad mató al gato,Curiosity killed the cat,Curiosity killed the cat,
Tener enchufe,To have a plug,To be well connected,
No muerdas la mano que te da de comer,Don’t bite the hand that gives you to eat,Don’t bite the hand that feeds you,
"En casa del herrero, cuchillo de palo","In the house of a blacksmith, knife of stick",The shoemaker’s son always goes barefoot,
Más vale lo malo conocido que lo bueno por conocer,Better the known bad than the good to know it,Better the devil you know than the devil you don’t,
"Cuando el gato no está, los ratones bailan","When the cat is not (here), the mice dance","When the cat is away, the mice will play",
Ser un bicho raro,To be a strange creature,To be a freak/weirdo,
Estar en el quinto pino,To be in the 5th pine (tree),To be in the boonies,
Estar forrado,To be covered,To be loaded (rich),
Estirar la pata,To stretch the leg,To kick the bucket,
"De tal palo, tal astilla","As such (the) stick, such (the splinter)","Like father, like son / The apple doesn’t fall far from the tree",
Matar dos pájaros de un tiro,To kill two birds of one throw/shot,To kill two birds with one stone,
"Ojos que no ven, corazón que no siente","Eyes than don’t see, heart that doesn’t feel","What the eye doesn’t see, the heart doesn’t grieve over",
No es oro todo lo que reluce,All that glitters is not gold,All that glitters is not gold,
Ser un don nadie,To be a Mr. nobody,To be a nobody,
Las penas compartidas saben a menos,Shared pains/penalties know less,Two in distress makes sorry less,
Salir del armario,To come out of the closet,To come out of the closet (to be gay),
Es la gota que colma el vaso,Is the drop that fills the glass,It’s the straw that breaks the camel’s back,
Sobre gustos no hay nada escrito,"About tastes, there is nothing written",There’s no accounting for tastes,
