Spanish,English Translation
Subirse al carro,Getting on the bandwagon
Esta ronda la pago yo,This round is on me
Lo importante es participar,The important thing is to participate
Ni más ni menos,Neither more nor less
"Unas veces se gana, otras se pierde","Sometimes you win, sometimes you lose"
Luchar por una causa perdida,Fighting for a lost cause
Tirar la toalla,Throw in the towel
Te invito,I invite you to
"Cuando se cierra una puerta, se abre una ventana","When a door closes, a window opens"
Cada una tiene lo que se merece,Each one gets what she deserves
La curiosidad mató al gato,Curiosity killed the cat
Tener enchufe,Have a plug
No muerdas la mano que te da de comer,Don't bite the hand that feeds you
"En casa del herrero, cuchillo de palo","In the blacksmith's house, a wooden knife"
Más vale lo malo conocido que lo bueno por conocer,Better the bad things known than the good things yet to be known
"Cuando el gato no está, los ratones bailan","When the cat is away, the mice dance"
Ser un bicho raro,Being a freak
Estar en el quinto pino,Being in the boonies
Estar forrado,To be covered
Estirar la pata,Stretch the leg
"De tal palo, tal astilla","Like father, like son"
Matar dos pájaros de un tiro,Killing two birds with one stone
"Ojos que no ven, corazón que no siente","Out of sight, out of mind"
No es oro todo lo que reluce,All that glitters is not gold
Ser un don nadie,Being a nobody
Las penas compartidas saben a menos,Shared sorrows taste like less
Salir del armario,Coming out of the closet
Es la gota que colma el vaso,It is the straw that breaks the camel's back
Sobre gustos no hay nada escrito,Nothing is written about taste
Estar como unas castañuelas,Be like a castanet
