Spanish,English Translation
Subirse al carro,To jump on the bandwagon
Esta ronda la pago yo,This round is on me
Lo importante es participar,The important thing is to take part
Ni más ni menos,"No more, no less"
"Unas veces se gana, otras se pierde","Sometimes you win, sometimes you lose"
Luchar por una causa perdida,To fight for a lost cause
Tirar la toalla,To throw in the towel
Te invito,It's on me
"Cuando se cierra una puerta, se abre una ventana","When one door closes, another opens"
Cada una tiene lo que se merece,Everyone gets what they deserve
La curiosidad mató al gato,Curiosity killed the cat
Tener enchufe,To have connections
No muerdas la mano que te da de comer,Don't bite the hand that feeds you
"En casa del herrero, cuchillo de palo",The shoemaker's son always goes barefoot
Más vale lo malo conocido que lo bueno por conocer,Better the devil you know than the devil you don't
"Cuando el gato no está, los ratones bailan","When the cat's away, the mice will play"
Ser un bicho raro,To be a weirdo
Estar en el quinto pino,To be in the middle of nowhere
Estar forrado,To be loaded
Estirar la pata,To kick the bucket
"De tal palo, tal astilla","Like father, like son"
Matar dos pájaros de un tiro,To kill two birds with one stone
"Ojos que no ven, corazón que no siente","What the eye doesn't see, the heart doesn't grieve over"
No es oro todo lo que reluce,All that glitters is not gold
Ser un don nadie,To be a nobody
Las penas compartidas saben a menos,A sorrow shared is a sorrow halved
Salir del armario,To come out of the closet
Es la gota que colma el vaso,It's the straw that breaks the camel's back
Sobre gustos no hay nada escrito,There's no accounting for taste
Estar como unas castañuelas,To be as happy as a clam
