Spanish,English Translation
Subirse al carro,To jump on the bandwagon
Esta ronda la pago yo,This round is on me
Lo importante es participar,"It's not whether you win or lose, it's how you play the game"
Ni más ni menos,Neither more nor less
"Unas veces se gana, otras se pierde","Sometimes you win, sometimes you lose"
Luchar por una causa perdida,To fight a losing battle
Tirar la toalla,To throw in the towel
Te invito,I'll treat you
"Cuando se cierra una puerta, se abre una ventana","When one door closes, another one opens"
Cada una tiene lo que se merece,Everyone gets what they deserve
La curiosidad mató al gato,Curiosity killed the cat
Tener enchufe,To have connections
No muerdas la mano que te da de comer,Don't bite the hand that feeds you
"En casa del herrero, cuchillo de palo",The shoemaker's son always goes barefoot
Más vale lo malo conocido que lo bueno por conocer,Better the devil you know than the devil you don't
"Cuando el gato no está, los ratones bailan","When the cat's away, the mice will play"
Ser un bicho raro,To be a weirdo
Estar en el quinto pino,To be out in the sticks
Estar forrado,To be loaded
Estirar la pata,To kick the bucket
"De tal palo, tal astilla","Like father, like son"
Matar dos pájaros de un tiro,To kill two birds with one stone
"Ojos que no ven, corazón que no siente","Out of sight, out of mind"
No es oro todo lo que reluce,All that glitters is not gold
Ser un don nadie,To be a nobody
Las penas compartidas saben a menos,Misery loves company
Salir del armario,To come out of the closet
Es la gota que colma el vaso,That's the last straw
Sobre gustos no hay nada escrito,There's no accounting for taste
Estar como unas castañuelas,To be as happy as a clam
