Spanish,English Translation
Subirse al carro,Jump on the bandwagon
Esta ronda la pago yo,This round is on me
Lo importante es participar,The important thing is to take part
Ni más ni menos,"No more, no less"
"Unas veces se gana, otras se pierde","Sometimes you win, sometimes you lose"
Luchar por una causa perdida,To fight for a lost cause
Tirar la toalla,Throw in the towel
Te invito,It's on me
"Cuando se cierra una puerta, se abre una ventana","When one door closes, a window opens"
Cada una tiene lo que se merece,Each one gets what she deserves
La curiosidad mató al gato,Curiosity killed the cat
Tener enchufe,To have connections
No muerdas la mano que te da de comer,Don't bite the hand that feeds you
"En casa del herrero, cuchillo de palo",The shoemaker’s son always goes barefoot
Más vale lo malo conocido que lo bueno por conocer,Better the devil you know than the devil you don’t
"Cuando el gato no está, los ratones bailan","When the cat’s away, the mice will play"
Ser un bicho raro,To be an oddball
Estar en el quinto pino,To be in the middle of nowhere
Estar forrado,To be loaded (with money)
Estirar la pata,To kick the bucket
"De tal palo, tal astilla","Like father, like son"
Matar dos pájaros de un tiro,Kill two birds with one stone
"Ojos que no ven, corazón que no siente","Out of sight, out of mind"
No es oro todo lo que reluce,All that glitters is not gold
Ser un don nadie,To be a nobody
Las penas compartidas saben a menos,Shared sorrows are half as heavy
Salir del armario,Come out of the closet
Es la gota que colma el vaso,It's the last straw
Sobre gustos no hay nada escrito,There's no accounting for taste
Estar como unas castañuelas,To be in high spirits
